                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1299,                0.78074,                 1.2876,                0.77547,                 0.7033,                0.76256,                0.38151,                 1.7907,                 1.1831,                 1.9011,              0.0018775,              0.0018775,              0.0018775
                     50,                 1.0934,                0.76602,                   1.26,                0.72688,                0.71653,                0.74513,                0.35665,                 1.7764,                 1.1774,                 1.9062,              0.0018725,              0.0018725,              0.0018725
                     51,                 1.1027,                0.76888,                 1.2654,                0.79365,                0.68681,                0.76825,                 0.4085,                 1.7429,                 1.0856,                 1.9022,              0.0018674,              0.0018674,              0.0018674
                     52,                 1.1074,                 0.7744,                 1.2653,                0.71373,                 0.7033,                 0.7425,                0.37406,                 1.8089,                 1.1718,                 1.9525,              0.0018621,              0.0018621,              0.0018621
                     53,                 1.0901,                0.76484,                 1.2649,                0.74986,                0.64286,                0.72726,                0.38062,                 1.8481,                 1.1282,                  1.999,              0.0018568,              0.0018568,              0.0018568
                     54,                 1.0835,                0.76361,                 1.2614,                0.76582,                0.68281,                0.74849,                0.37489,                 1.8338,                 1.1561,                 2.0221,              0.0018514,              0.0018514,              0.0018514
                     55,                 1.0612,                0.72381,                 1.2484,                0.74065,                0.65905,                0.73313,                0.37425,                 1.8213,                 1.1891,                  1.991,              0.0018459,              0.0018459,              0.0018459
                     56,                 1.0779,                0.73235,                 1.2453,                0.65949,                0.73077,                0.71067,                0.36684,                 1.7946,                 1.1808,                 1.9605,              0.0018403,              0.0018403,              0.0018403
                     57,                 1.0662,                0.73587,                 1.2405,                0.72051,                0.72527,                0.75375,                 0.3847,                 1.7549,                 1.0711,                 1.9303,              0.0018346,              0.0018346,              0.0018346
                     58,                 1.0321,                0.69165,                 1.2149,                0.76373,                0.62637,                0.72555,                0.37437,                 1.7958,                 1.1588,                 1.9557,              0.0018288,              0.0018288,              0.0018288
                     59,                  1.037,                0.71401,                 1.2263,                0.74726,                 0.6978,                0.74476,                0.38018,                 1.8133,                  1.155,                 1.9764,              0.0018229,              0.0018229,              0.0018229
                     60,                 1.0538,                 0.7302,                 1.2308,                0.81397,                0.64913,                0.74473,                0.35655,                 1.9094,                 1.1845,                 2.1255,               0.001817,               0.001817,               0.001817
                     61,                 1.0195,                0.68055,                 1.2228,                0.78345,                0.67582,                0.75336,                0.38516,                 1.7825,                 1.0962,                 1.9519,              0.0018109,              0.0018109,              0.0018109
                     62,                 1.0209,                0.68538,                 1.2187,                0.82325,                 0.7033,                0.79828,                0.43047,                 1.7442,                 1.0324,                 1.9316,              0.0018048,              0.0018048,              0.0018048
                     63,                 1.0254,                0.70245,                 1.2125,                0.79694,                0.62088,                0.72007,                0.34424,                 1.8689,                 1.1904,                  2.063,              0.0017986,              0.0017986,              0.0017986
                     64,                 1.0215,                0.69538,                 1.2201,                0.78204,                0.71978,                0.78567,                0.38972,                 1.7959,                 1.1468,                 1.9756,              0.0017923,              0.0017923,              0.0017923
